-0.65203 0.07239 1 
-0.53709 0.01008 0 
-0.8974 0.01622 2 
-0.74517 0.12398 2 
-0.93607 0.07261 2 
-0.93599 0.17762 2 
-0.8112 0.176 3 
-0.75074 0.37621 1 
-0.60313 -0.20623 3 
-0.67283 0.3832 3 
-0.69658 0.13558 1 
-0.99732 0.0699 0 
-0.81622 0.27241 3 
-0.70486 0.13052 1 
-0.71932 0.00141 1 
-0.84067 -0.14708 2 
-0.67424 0.06436 2 
-0.56131 -0.05351 3 
-0.57197 -0.05785 2 
-0.69907 0.05174 1 
-0.61121 0.26414 0 
-0.7676 0.17856 2 
-0.91022 0.01853 1 
-0.90186 0.10182 0 
-0.77018 0.10559 2 
-0.63922 -0.24245 1 
-0.65322 -0.02618 3 
-0.66885 0.18234 3 
-0.81975 0.26523 3 
-0.8744 0.07894 0 
-0.55477 0.1754 0 
-0.57453 0.09537 2 
-0.72772 0.21586 0 
-0.61554 0.1594 2 
-0.73709 0.23119 1 
-0.89885 0.15619 0 
-0.7862 0.3324 0 
-0.66534 0.22733 0 
-0.49163 0.19586 3 
-0.88956 0.33686 0 
-0.56161 0.09376 3 
-0.65091 -0.06109 3 
-0.71875 0.02662 2 
-0.62553 0.03556 2 
-0.57135 0.13395 2 
-0.79468 0.16043 0 
-0.74243 0.18054 2 
-0.90615 0.01221 2 
-0.77393 -0.0054 0 
-0.49353 0.07252 2 
-0.65312 0.02497 0 
-0.66867 0.17557 2 
-0.83371 0.13016 2 
-0.78457 0.06219 2 
-0.67531 0.12725 1 
-0.97703 0.09875 0 
-0.87443 -0.17426 0 
-0.77409 -0.03545 0 
-0.72541 -0.04178 2 
-0.67855 -0.06898 2 
-0.52352 0.1791 2 
-0.62099 -0.0436 0 
-0.91655 0.09765 3 
-0.6309 0.05146 1 
-0.93663 0.04514 1 
-0.71112 0.02363 1 
-0.41029 -0.01072 0 
-0.76522 -0.01159 3 
-0.90203 0.31752 0 
-0.71444 0.13562 1 
-0.75976 0.16513 3 
-0.75468 0.06022 1 
-0.63387 -0.18145 1 
-0.80378 0.09887 0 
-0.78385 0.17639 2 
-0.61544 -0.14393 2 
-0.68596 0.07618 2 
-0.68043 0.31688 1 
-0.8901 0.0765 0 
-0.66675 0.21699 1 
-0.65066 -0.06381 3 
-0.46879 0.1411 1 
-0.83288 0.08265 0 
-0.50907 0.05095 1 
-0.71942 -0.25388 0 
-0.81641 0.08039 3 
-0.69366 -0.07821 1 
-0.72151 0.04677 1 
-0.6183 0.12127 0 
-0.70982 -0.02957 2 
-0.46833 0.21154 2 
-0.91748 0.08009 1 
-0.70961 0.22138 0 
-0.49778 -0.03452 3 
-0.76393 -0.06967 3 
-0.62723 0.23984 3 
-0.7872 0.08787 2 
-0.74961 0.13221 3 
-0.65824 0.1322 0 
